"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"LLDSYSTEM";"LLD SYSTEM";44346780800020;"FR33443467808  "
"SNL";"SOCIETE NOUVELLE DE LOCATION";32526047900150;"FR55325260479  "
"MAGTRUCKSPIECES";"MAGTRUCKSPIECES";89345766300019;"FR34893457663  "
"WORKSMOTOR";"WORKS MOTOR";87812923800019;"FR34878129238  "
"SAFARBIS";"SAFAR BIS";50969526800011;"FR29509695268  "
"ADMLOCATION";"ADM LOCATION";80014452900024;"FR13800144529  "
"REVAUTO";"REVAUTO";48319206800011;"FR68483192068  "
"MECAWASS";"MECA WASS";82291348900016;"FR75822913489  "
"PAULAUTOCENTRE";"PAULAUTOCENTRE";79824270700015;"FR87798242707  "
"GPM";"GROUPE PIERRE MORANDAIS";52157743700010;"FR06521577437  "
"FIRSTOCCASIONSIXT";"FIRST OCCASION/SIXT PTP";85014625900013;"FR38850146259"
"SBTPC";"SBTPC";31085034200026;"FR22310850342  "
"EKOBOOST";"EKOBOOST";89039306900012;"FR09890393069 "
"MADIBA";"MADIBA";89197980900011;"FR51891979809 "
"LEALREUNION";"LEAL REUNION";79351979400044;"FR41793519794 "
"AJNAUTO";"AJN AUTO";50795025100011;"FR68507950251 "
"FLASHCOLOR";"FLASHCOLOR";84817833100015;"FR62848178331 "
"CAMILLEAUTO";"CAMILLE AUTO";87897139900018;"FR55878971399 "
"AMOLOTO";"AMOLOTO";82758544900016;"FR37827585449 "
"TRANSPORTRINO";"TRANSPORT RINO & FILS";40351368200027;"FR70403513682 "
"PARCAUTOREUNION";"PARC AUTOMOBILE REUNION";89451321700022;"FR34894513217 "
"PRODEPANN";"PRO DEPANN'";84134928500012;"FR03841349285 "
"GARDENDISTRIBUTIO";"GARDEN DISTRIBUTIONS";50788625700017;"FR49507886257 "
"BOURBONCONCEPTCAR";"BOURBON CONCEPT CAR";44927947000016;"FR45449279470 "
"FIRSTOCCASIONFDF";"FIRST OCCASION/SIXT FDF";85014625900013;"FR38850146259"
"CARVITSL";"CARVIT-SL";79065426300025;"FR73790654263 "
"BRUTDEFUT";"BRUT DE FUT";89739153800013;"FR57897391538  "
"PIECESAUTOCONCORD";"PIECES AUTO CONCORDES";81112469200021;"FR78811124692 "
"JPAUTOGUYANE";"JP AUTO GUYANE";83025863800014;"FR32830258638 "
"COLLINAUTOSERVICE";"COLLIN AUTO SERVICE";83158959300019;"FR86831589593"
"AUTORACINGGUYANE";"AUTO RACING GUYANE";48205444200017;"FR38482054442 "
"GPHAUTO";"GARAGE DE LA PLAINE HAUTE";79942950100015;"FR84799429501  "
"MOVINGSMART";"MOVING SMART";89277550300022;"FR60892775503 "
"SPSERVICESETFILS";"SP SERVICES ET FILS";51220695400046;"FR30512206954 "
"AUTOGESTIONGUADEL";"AUTO GESTION GUADELOUPE";89267176900016;"FR34892671769 "
"SODISPRA";"SODISPRA";82438028100025;"FR46824380281"
"AUTOPARTSSXM";"AUTO PARTS SXM NPS";84797527300016;"FR48847975273 "
"IBCCLT";"I.B.C. INTERNATIONAL BUSINESS COMPANY";45311189000043;"FR89453111890  "
"RED";"RED";75153408200027;"FR24751534082  "
"GARAGEDESSPORTS";"GARAGE DES SPORTS ( agent CITROEN )";53312320400018;"FR62533123204  "
"IBCRUN";"I.B.C. INTERNATIONAL BUSINESS COMPANY";45311189000043;"FR89453111890  "
"TADEUS";"GARAGE TADEUS";38877833400010;"FR30388778334"
"INJECTIONDIESELSE";"INJECTION DIESEL SERVICE";80302965100020;"FR69803029651  "
"LEBERNICA";"GARAGE LE BERNICA";37914953700019;"FR45379149537 "
"HPMOTO";"HP MOTO";48811500700020;"FR53488115007 "
"TSAUTOSPARE";"TS AUTO SPARE";52751545600012;"FR13527515456 "
"CARROSSERIEODILON";"CARROSSERIE ODILON";90311847900018;"FR46903118479  "
"MATICEAUTO";"MAT ICE AUTO";88416624000017;"FR73884166240 "
"AUTODMC";"AUTO DMC";51356774300010;"FR55513567743  "
"IKEMLOCATION";"IKEM LOCATION";88340007900017;"FR05883400079  "
"ALPHALOCATION";"ALPHA LOCATION BUDGET";50211814400018;"FR25502118144 "
"PHSERVICES";"PH SERVICES";81510432800027;"FR32815104328 "
"GILLESAUTOMOBILE";"GILLES AUTOMOBILE";82820426300010;"FR93828204263  "
"BERDA";"GARAGE BERDA";54009726800010;"FR33540097268 "
"BUTORPIECESAUTOS";"BUTOR PIECES AUTOS";39797200100028;"FR51397972001 "
"STARPIECESAUTO";"STAR PIECES AUTO";89093442500012;"FR06890934425 "
"JCM";"JCM";34797578100019;"FR66347975781  "
"3SAUTOMOBILES";"3S AUTOMOBILES";89175620700017;"FR00891756207"
"LEBIHAN";"GARAGE LEBIHAN";48166267400029;"FR83481662674 "
"CHANEYINMICKAEL";"GARAGE CHANE YIN MICKAEL";48344438600013;"FR34483444386 "
"SODRASARL";"SODRA SARL";34183681500017;"FR73341836815 "
"GARAGEDUCENTRE";"GARAGE DU CENTRE";37820783100033;"FR52378207831 "
"TELLIER";"GARAGE TELLIER";31667819200022;"FR01316678192 "
"PULEO";"GARAGE PULEO";32635721700024;"FR29326357217 "
"MOULIN";"GARAGE DU MOULIN";50986263700014;"FR64509862637"
"AUNETTE";"GARAGE DE L'AUNETTE";41277678300026;"FR37412776783"
"MSPORTRUN";"M SPORT RUN";84974576500016;"FR95849745765 "
"DIAGAUTOSERVICE";"DIAG AUTO SERVICE";49339256700027;"FR05493392567 "
"AM5";"AM5";51267855800028;"FR00512678558 "
"CARAL";"CAR AL";68202110000016;"FR20682021100"
"PRAD";"PRAD";44151360300015;"FR01441513603 "
"SIXTSTBARTHELEMY";"SIXT SAINT BARTHELEMY";41075307300049;"FR40410753073 "
"SHRENOVATIONS";"S&H RENOVATIONS";89185806000017;"FR09891858060"
"JEANJAURES";"GARAGE JEAN JAURES";84790992600010;"FR44847909926  "
"CHATEAU";"GARAGE DU CHATEAU";96820190500039;"FR91968201905 "
"JPOAUTOMOBILES";"JPO AUTOMOBILE";80896473800021;"FR10808964738 "
"MROCCAZ";"MR OCCAZ";82359804000017;"FR44823598040"
"STARTER";"PEUGEOT STARTER";34525978200026;"FR69345259782  "
"BONNEUILAUTOMOBIL";"BONNEUIL AUTOMOBILES";34417754800031;"FR54344177548 "
"GGEDELARCENCIEL";"GARAGE DE L'ARC EN CIEL";38026337600028;"FR09380263376 "
"VELP";"VELP";49419473100019;"FR24494194731 "
"STOPAUTOCENTER";"STOP AUTO CENTER";83189232800012;"FR80831892328 "
"MARAIS";"GARAGE DU MARAIS";35100201900013;"FR65351002019 "
"MMS";"GARAGE MMS";49973514000018;"FR10499735140 "
"TURQUOISE";"GARAGE TURQUOISE";78920746100011;"FR29789207461 "
"LACROIXAUTOTOP";"LACROIX AUTO TOP";81513017400015;"FR67815130174"
"COUPAMAAUTO";"GARAGE COUPAMA AUTOS";85208303900036;"FR78852083039  "
"PAYET";"GARAGE PAYET";79332566300011;"FR36793325663 "
"TOPMECADEVELOPPEM";"TOP MECA DEVELOPPEMENT";53787332500014;"FR58537873325"
"POINAMA";"GARAGE POINAMA";41539629000017;"FR06415396290 "
"SOMEX";"SOMEX";90302528600019;"FR21903025286 "
"REUNIONTECHNICAUT";"REUNION TECHNIC AUTOMOBILE SARL";43794351700015;"FR95437943517 "
"CEDCARROSSERIE";"CED CARROSSERIE";88977517700013;"FR03889775177 "
"AUTOMATISMSPLUS";"AUTOMATISM'PLUS SARL";52202455300011;"FR38522024553"
"NISSANMOLITORCLT";"NISSAN MOLITOR CLIENT";39027270600024;"FR00390272706"
"LIMEILAUTOMOBILES";"CARROSSERIE LIMEIL AUTOMOBILES";88106980100010;"FR58881069801 "
"FASTCARROSSERIE";"FAST CARROSSSERIE";88519435700012;"FR18885194357 "
"CELESTE";"GARAGE CELESTE DU BOULEVARD";40252451600018;"FR93402524516 "
"DETAILINGPERFORMA";"DETAILING PERFORMANCE";82425720800010;"FR09824257208 "
"FALCON";"CARROSSERIE FALCON";44236576300030;"FR46442365763 "
"PRO";"CARROSSERIE PRO";83436441600018;"FR15834364416 "
"ARDOINES";"GARAGE DES ARDOINES";56207519200012;"FR92562075192"
"FRANCKAUTOPLUS";"FRANCK AUTO PLUS";89531927500015;"FR95895319275 "
"TENITRI";"GARAGE TENITRI";40500919200015;"FR59405009192  "
