"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"PROCARSARL";"PROCAR SARL";43037995800027;"FR46430379958  "
"OMANEX";"OMANEX";37916797600016;"FR72379167976  "
"MECAIMPORT";"MECA IMPORT";79861036600014;"FR77798610366 "
"PROCARPLUS";"PROCAR +";79215471800011;"FR56792154718  "
"SUBLIMAUTO";"SUBLIM'AUTO";79249323100015;"FR05792493231  "
"CARROSSERIEJRC";"CARROSSERIE JRC";48071845100010;"FR08480718451  "
"SUMET";"GARAGE SUMET";31845403000020;"FR81318454030  "
"GGEDABADIE";"GGE D'ABADIE DE LURBE";34840339500018;"FR83348403395  "
"FLASHAUTO971";"FLASH AUTO 971";32481634700011;"FR51324816347  "
"BILLPEINTCAR";"BILL PEINT CAR AUTOS";43379976400017;"FR65433799764  "
"IDGUYANECLT";"IDGUYANECLT";43830185500021;"FR58438301855  "
"PRESTIGEAUTO";"PRESTIGE AUTO";50198837200014;"FR67501988372  "
"PRORENT";"PRO-RENT Guadeloupe";38395123300014;"FR51383951233  "
"JMCARROSSERIE";"JM CARROSSERIE";75101490300031;"FR16751014903  "
"LOUISONGGE";"GARAGE LOUISON";79264788500013;"FR16792647885  "
"CLINICAUTO";"CLINIC AUTO";43224246900018;"FR88432242469  "
"KARIBELECTRO";"KARIB ELECTRO SERVICE";51423514200023;"FR75514235142  "
"CARIBAUTONEW";"CARIB AUTO NEW";52073290000011;"FR35520732900  "
"SACI";"SACI GUADELOUPE";32896066100028;"FR18328960661  "
"NCDREUNION";"NOUVELLE CARROSSERIE DIONYSIENNE";38128183100010;"FR68381281831  "
"TOPAUTOCOMPETITIO";"TOP AUTO COMPETITION";51136934000035;"FR70511369340  "
"WLC";"WLC CARROSSERIE";82078969100012;"FR29820789691  "
"MINATCHYSOWEST";"MINATCHY SO-WEST";43386084800012;"FR84433860848  "
"IMAUTO";"IM AUTO";79031283900018;"FR24790312839  "
"LAMALLE";"GARAGE LAMALLE";44781494800017;"FR94447814948 "
"CODIMA";"CODIMA GUADELOUPE";33934567000071;"FR03339345670  "
"AUTOEXPERTGUYANE";"AUTO EXPERT GUYANE";52239501100029;"FR83522395011  "
"CAROUTUNING";"CAROU TUNING CONCEPT";49458144000018;"FR31494581440  "
"MECANOTO";"MECANOTO";44081900100015;"FR46440819001 "
"GERCINGARAGE";"GERCIN GARAGE ";44406863900038;"FR72444068639  "
"STARAUTO";"STARAUTO";39046737100014;"FR55390467371  "
"IMPORTRACING";"IMPORT RACING";51807347300010;"FR04518073473  "
"IMPORTAUTO";"IMPORTAUTO.RE";78960463400012;"FR00789604634  "
"MONGIS";"MONGIS GARAGE";81279080600010;"FR10812790806  "
"SACIMARTINIQUE";"SACI MARTINIQUE";32896066100028;"FR18328960661  "
"JOFROID";"SAS JO-FROID";52955810800021;"FR91529558108  "
"YANNSAMBULANCES";"YANN'S AMBULANCES";78949993600019;"FR89789499936  "
"AMBULANCESSOUPRAY";"AMBULANCES SOUPRAYENMESTRY";52367031300015;"FR18523670313  "
"YANNSTAXIS";"YANN'S TAXIS";53416652500012;"FR29534166525  "
"PBAUTO";"P.B. AUTO";41130385200023;"FR79411303852  "
"MASCAREIGNES";"MASCAREIGNES IMPORT";47776349400028;"FR64477763494  "
"AFVA";"A.F.V.A.";51475486000013;"FR51514754860  "
"CGFF";"CGFF MARTINIQUE";45043639900049;"FR75450436399  "
"CGFFGUY";"CGFF GUYANE            ";42116088800044;"FR58421160888  "
"NEGRE";"GARAGE PIERRE NEGRE";44790282600018;"FR82447902826  "
"AUTOSERVICEPRO";"AUTO SERVICE PRO";"802351619 00019";"FR63802351619  "
"SACIGUY";"SACI GUYANE";32896066100028;"FR18328960661  "
"EFFICACEAUTO";"EFFICACE AUTO";48017949800021;"FR42480179498  "
"MJCAUTO";"MJC AUTO";48873082100029;"FR33488730821  "
"PVIP";"PIECES VEHICULES IMPORT PRESTATIONS";81457746600018;"FR61814577466  "
"QUARTIER";"GARAGE DU QUARTIER";38441970100014;"FR22384419701  "
"CARGOTECH";"CARGOTECH";39909979500045;"FR73399099795  "
"SMCI";"SMCI- GROUPE CAILLE";2406619300012;"FR36024066193  "
"ALG";"AUTO LOISIRS GUYANE";31957058600028;"FR48319570586  "
"NCG";"NOUVELLE CARROSSERIE GUADELOUPEENE";41797058900012;"FR54417970589  "
"NATEXPRESSREUNION";"NAT EXPRESS REUNION";43495451700083;"FR66434954517  "
"MCGAUTOMOBILE";"MCG AUTOMOBILE";50124206900026;"FR15501242069 "
"MONTAUBANAUTO";"MONTAUBAN AUTO";43392803300011;"FR73433928033  "
"SALVA";"SALVA ";42116042500185;"FR27421160425  "
"TCSERVICES";"TC SERVICES";32508875500047;"FR50325088755  "
"GARCIALOCATION";"GARCIA LOCATION";48087137500014;"FR67480871375  "
"EXCELLAUTO";"EXCELLAUTO PETITE ILE";49422359700019;"FR01494223597  "
"EXCELLAUTOSP";"EXCELLAUTO SAINT PIERRE";81458891900013;"FR82814588919  "
"STIR";"S.T.I.R.";48087137500014;"FR67480871375  "
"TEAMFANOSPORTCLUB";"TEAM FANO SPORT CLUB";51317892100013;"FR14513178921  "
"ANTILLESCLIM";"ANTILLE CLIM";45196311000023;"FR62451963110  "
"SAURAYE";"SAURAYE DEVELOPPEMENT";81378890800016;"FR23813788908"
"SACIREUNION";"SACI REUNION";32896066100150;"FR18328960661  "
"ADVGARAGE";"ADV GARAGE";40971167800014;"FR31409711678 "
"MINATCHYGROUPE";"GROUPE MINATCHY";80260178100015;"FR60802601781  "
"PLATINIUMCARS";"PLATINIUM CARS ANTILLES";52757940300017;"FR85527579403  "
"EDR";"ELECTRO DIESEL REUNION";31086330300031;"FR08310863303  "
"SOTOGUAD";"SOTOGUAD";50357591200012;"FR84503575912  "
"LILOUASSISTANCE";"LILOU ASSISTANCE";52885878000026;"FR23528858780  "
"SPEEDCARROSSERIE";"SPEED CARROSSERIE";52922323200024;"FR92529223232  "
"PINEAUMECA";"PINEAU MECA SARL";44120580400020;"FR44441205804  "
"CWBPAUTO";"C.W.B.P AUTO";78899131300016;"FR30788991313  "
"IPA";"International Pièce Auto (IPA)";43917018400022;"FR13439170184  "
"SMPL";"SOCIETE MAINTENANCE POIDS LOURDS";79489456800011;"FR20794894568  "
"CHARLYAUTO";"GARAGE CHARLY AUTO";82182678100014;"FR24821826781  "
"CENTREAUTOWARNING";"CENTRE AUTO WARNING";79268038100011;"FR19792680381  "
"CENTERCARCAMBAIE";"CENTER CAR CAMBAIE";81298098500012;"FR90812980985  "
"VINCECARROSSERIE";"VINCECARROSSERIE";38765388400016;"FR49387653884  "
"PROVIDENTIEL";"GARAGE PROVIDENTIEL";35010788400016;"FR01350107884  "
"STARTOP";"STARTOP";82378416000017;"FR72823784160  "
"FRANCHINARD";"GARAGE FRANCHINARD";81865331300010;"FR73818653313  "
"FASTLOCATION";"FAST LOCATION";53474797700039;"FR34534747977  "
